New Interviewee Case Study Dataset FINAL (2),,,,,,,,,,,,,,,,,,,
Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,Over18,workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,complaintfiled,complaintresolved,complaintyears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Left
31,Female,low,Research & Development,1,Y,0,Travel_Rarely,2,40,4,1,Y,0,11,1,1,1,0,No
32,Male,low,Research & Development,0,Y,0,Travel_Frequently,2,40,4,0,,,13,2,8,7,3,No
34,Female,medium,Research & Development,3,Y,1,Travel_Rarely,8,40,1,0,,,14,3,7,0,0,No
49,Male,high,Research & Development,4,Y,0,Travel_Rarely,1,40,3,0,,,14,3,23,8,0,No
27,Male,medium,Research & Development,1,Y,0,Travel_Rarely,19,40,1,0,,,11,1,7,7,0,No
22,Male,low,Research & Development,0,Y,1,Travel_Frequently,3,40,4,0,,,11,1,1,0,0,Yes
31,Female,high,Research & Development,4,Y,1,Non-Travel,10,40,3,0,,,20,5,13,11,4,No
51,Male,medium,Sales,0,Y,1,Travel_Rarely,21,40,4,0,,,22,5,11,10,1,No
29,Male,low,Research & Development,0,Y,1,Travel_Rarely,2,40,2,0,,,23,5,6,5,0,No
32,Male,low,Research & Development,2,Y,0,Non-Travel,5,40,2,0,,,14,2,12,7,0,No
50,Male,high,Research & Development,3,Y,0,Travel_Rarely,4,40,2,0,,,14,2,28,10,1,No
31,Female,medium,Sales,1,Y,1,Travel_Rarely,29,40,4,0,,,14,3,13,12,5,No
46,Male,high,Research & Development,3,Y,1,Travel_Rarely,2,40,4,0,,,14,2,12,9,4,No
30,Male,medium,Sales,5,Y,1,Travel_Rarely,8,40,3,0,,,11,1,10,8,7,No
50,Male,medium,Sales,7,Y,0,Travel_Rarely,8,40,2,0,,,15,3,4,2,2,No
55,Male,high,Research & Development,1,Y,0,Non-Travel,8,40,2,0,,,15,3,34,33,15,No
30,Male,low,Sales,0,Y,1,Travel_Rarely,7,40,2,0,,,14,2,4,3,1,No
37,Male,low,Research & Development,0,Y,1,Non-Travel,5,40,3,0,,,14,3,7,6,1,No
29,Female,low,Research & Development,6,Y,1,Travel_Rarely,10,40,1,0,,,20,5,3,0,0,Yes
49,Male,high,Research & Development,3,Y,1,Travel_Rarely,7,40,2,0,,,14,3,29,8,0,No
26,Female,low,Research & Development,1,Y,0,Travel_Frequently,1,40,3,0,,,13,2,5,5,1,No
54,Female,medium,Research & Development,6,Y,0,Travel_Rarely,10,40,1,0,,,19,4,9,5,1,No
51,Male,high,Research & Development,2,Y,0,Travel_Frequently,8,40,4,0,,,15,3,18,4,0,Yes
45,Male,high,Research & Development,4,Y,0,Travel_Rarely,6,40,1,0,,,14,2,17,0,0,No
40,Male,medium,Sales,2,Y,1,Travel_Rarely,22,40,3,1,Y,2,12,1,8,6,1,Yes
35,Male,medium,Research & Development,1,Y,1,Travel_Rarely,10,40,4,0,,,20,5,3,3,1,No
27,Female,low,Research & Development,0,Y,0,Travel_Rarely,6,40,3,1,Y,1,12,2,6,5,0,No
27,Female,medium,Research & Development,7,Y,0,Travel_Rarely,8,40,3,0,,,17,4,5,3,0,No
56,Female,medium,Research & Development,4,Y,0,Travel_Rarely,8,40,1,0,,,18,4,19,2,2,No
28,Male,low,Research & Development,2,Y,1,Travel_Rarely,1,40,1,0,,,11,1,5,3,1,No
50,Male,low,Research & Development,4,Y,0,Travel_Rarely,9,40,4,1,Y,0,18,4,8,1,0,No
45,Female,low,Research & Development,3,Y,0,Travel_Rarely,1,40,4,1,Y,2,14,2,8,5,0,No
31,Male,medium,Sales,4,Y,0,Travel_Rarely,6,40,3,0,,,18,4,12,7,7,Yes
35,Male,medium,Research & Development,0,Y,0,Travel_Rarely,5,40,2,1,N,0,13,2,17,16,0,No
23,Male,medium,Research & Development,1,Y,0,Travel_Rarely,8,40,3,1,N,3,11,1,5,5,1,Yes
41,Male,high,Sales,1,Y,0,Travel_Rarely,2,40,2,0,,,19,4,22,22,0,No
27,Female,medium,Sales,1,Y,0,Travel_Rarely,23,40,3,0,,,21,5,9,9,5,No
39,Male,high,Research & Development,1,Y,1,Travel_Frequently,1,40,3,1,N,2,14,3,21,21,1,No
48,Male,high,Research & Development,6,Y,1,Travel_Rarely,1,40,4,1,N,,12,2,25,1,0,No
54,Male,high,Research & Development,4,Y,1,Travel_Rarely,5,40,1,0,,,11,1,24,4,1,No
50,Male,low,Sales,1,Y,1,Travel_Rarely,3,40,3,0,,,14,3,3,3,0,Yes
45,Female,medium,Sales,4,Y,1,Travel_Rarely,4,40,1,0,,,11,1,9,5,0,No
34,Male,medium,Research & Development,0,Y,1,Travel_Frequently,3,40,4,0,,,17,4,7,6,0,No
40,Female,high,Sales,4,Y,1,Non-Travel,24,40,2,0,,,16,3,22,1,0,Yes
22,Male,low,Research & Development,0,Y,1,Travel_Rarely,6,40,3,0,,,20,5,3,2,2,No
50,Male,high,Research & Development,2,Y,0,Travel_Rarely,2,40,3,0,,,11,1,29,8,7,No
37,Male,medium,Research & Development,4,Y,1,Travel_Rarely,6,40,1,0,,,13,2,13,7,6,No
24,Female,low,Research & Development,1,Y,0,Travel_Frequently,7,40,3,0,,,16,3,6,6,1,Yes
40,Male,medium,Research & Development,3,Y,0,Non-Travel,8,40,4,0,,,18,4,8,2,2,No
27,Male,low,Research & Development,9,Y,0,Travel_Rarely,2,40,2,1,Y,1,12,1,6,2,2,No
33,Female,low,Research & Development,1,Y,1,Travel_Rarely,14,40,2,0,,,13,2,8,8,1,No
30,Female,low,Research & Development,5,Y,1,Travel_Rarely,3,40,1,0,,,11,1,8,5,0,Yes
31,Female,high,Research & Development,1,Y,1,Travel_Frequently,7,40,3,0,,,24,5,10,10,8,No
36,Female,low,Research & Development,1,Y,0,Travel_Frequently,18,40,4,0,,,13,2,8,8,1,No
32,Male,low,Research & Development,1,Y,0,Travel_Rarely,2,40,1,0,,,14,3,4,4,1,No
46,Male,high,Sales,3,Y,1,Travel_Rarely,3,40,3,1,Y,1,12,1,23,12,4,No
55,Male,medium,Research & Development,3,Y,1,Travel_Rarely,20,40,4,0,,,19,4,12,10,0,No
58,Male,high,Sales,4,Y,0,Non-Travel,2,40,2,0,,,22,5,37,16,14,No
34,Male,medium,Research & Development,1,Y,0,Travel_Frequently,22,40,4,0,,,15,3,16,15,6,No
43,Male,high,Research & Development,4,Y,0,Travel_Rarely,6,40,4,0,,,14,3,21,1,0,No
31,Male,low,Research & Development,0,Y,0,Non-Travel,9,40,1,0,,,22,5,4,3,1,Yes
46,Male,high,Sales,4,Y,0,Travel_Rarely,9,40,4,0,,,11,1,28,7,4,Yes
28,Male,low,Research & Development,5,Y,0,Travel_Rarely,17,40,4,0,,,12,2,6,4,0,Yes
25,Male,medium,Research & Development,1,Y,1,Non-Travel,5,40,1,1,Y,2,12,2,6,6,1,No
35,Female,high,Research & Development,7,Y,0,Travel_Rarely,22,40,2,0,,,18,4,10,7,6,No
35,Male,medium,Research & Development,2,Y,0,Non-Travel,2,40,4,0,,,14,3,15,7,1,No
40,Female,high,Research & Development,9,Y,1,Travel_Frequently,9,40,3,0,,,17,4,20,18,2,No
52,Male,high,Sales,9,Y,0,Travel_Rarely,5,40,2,0,,,19,5,10,8,7,Yes
46,Male,medium,Human Resources,8,Y,0,Travel_Rarely,5,40,2,0,,,22,5,16,4,0,No
50,Male,high,Research & Development,2,Y,0,Travel_Frequently,20,40,3,0,,,15,3,32,30,12,No
27,Male,medium,Sales,1,Y,0,Travel_Rarely,2,40,3,0,,,11,1,5,5,0,No
55,Male,high,Research & Development,0,Y,0,Travel_Rarely,1,40,1,0,,,14,3,37,36,4,No
34,Male,medium,Research & Development,9,Y,1,Travel_Rarely,1,40,4,0,,,17,4,9,2,2,No
35,Female,high,Research & Development,1,Y,1,Travel_Rarely,16,40,2,1,N,1,19,5,11,11,3,No
37,Female,low,Research & Development,1,Y,1,Travel_Rarely,1,40,4,0,,,12,2,17,17,5,No
33,Male,low,Research & Development,1,Y,1,Non-Travel,1,40,3,0,,,12,1,1,1,0,No
40,Female,medium,Research & Development,4,Y,1,Travel_Rarely,1,40,4,0,,,17,4,12,5,0,No
42,Male,low,Research & Development,3,Y,0,Non-Travel,10,40,3,0,,,22,5,10,6,3,No
30,Male,low,Research & Development,9,Y,1,Travel_Frequently,4,40,4,0,,,23,5,3,1,0,Yes
33,Female,medium,Sales,8,Y,1,Non-Travel,2,40,2,0,,,15,3,13,11,1,No
41,Female,medium,Sales,8,Y,0,Travel_Rarely,1,40,4,0,,,11,1,8,6,0,Yes
42,Male,high,Research & Development,1,Y,1,Travel_Rarely,4,40,4,0,,,11,1,22,22,11,No
29,Female,low,Research & Development,5,Y,1,Travel_Rarely,25,40,2,0,,,16,4,6,2,1,Yes
34,Female,medium,Sales,0,Y,0,Travel_Rarely,24,40,2,0,,,23,5,16,15,10,Yes
29,Female,low,Research & Development,1,Y,0,Travel_Rarely,6,40,4,0,,,13,2,10,10,0,No
22,Male,low,Research & Development,1,Y,1,Travel_Rarely,5,40,2,0,,,16,3,4,4,2,No
30,Female,medium,Research & Development,1,Y,1,Travel_Rarely,28,40,4,1,N,0,13,2,11,10,1,No
45,Male,medium,Research & Development,4,Y,0,Travel_Frequently,1,40,3,1,Y,0,12,1,12,4,0,No
32,Female,high,Research & Development,3,Y,0,Travel_Rarely,3,40,4,0,,,15,3,10,7,7,No
47,Female,high,Research & Development,3,Y,0,Travel_Rarely,2,40,3,0,,,19,4,26,20,5,No
50,Male,low,Research & Development,1,Y,0,Travel_Rarely,28,40,3,0,,,11,1,20,20,3,No
31,Male,medium,Research & Development,1,Y,0,Travel_Rarely,20,40,3,0,,,11,1,10,10,0,No
30,Male,medium,Sales,1,Y,0,Travel_Rarely,10,40,3,0,,,18,4,10,10,1,No
31,Male,medium,Research & Development,6,Y,0,Travel_Frequently,2,40,4,0,,,13,2,7,2,2,Yes
30,Male,high,Sales,3,Y,1,Travel_Rarely,29,40,2,0,,,12,1,9,4,1,No
20,Male,low,Sales,1,Y,1,Travel_Rarely,9,40,1,1,Y,0,11,1,2,2,0,No
47,Male,medium,Research & Development,1,Y,0,Travel_Frequently,16,40,3,0,,,19,5,20,19,2,No
34,Male,medium,Research & Development,2,Y,0,Travel_Frequently,2,40,3,0,,,11,1,5,3,0,No
